"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,         372,       -15.0008813,      -14.49229329,      -15.15526613
          0,           0,         373,      -15.03469837,       -14.5292993,      -15.19609856
          0,           0,         374,      -15.06332099,      -14.56380385,      -15.25786054
          0,           0,         375,      -15.09615609,      -14.59617154,      -15.31009991
          0,           0,         376,      -15.13800591,      -14.62932471,      -15.32871867
          0,           0,         377,      -15.18592403,      -14.66615206,      -15.32740455
          0,           0,         378,      -15.23027065,      -14.70604358,      -15.34475678
          0,           0,         379,      -15.26484785,      -14.74551356,      -15.39638975
          0,           0,         380,      -15.29671208,      -14.78246564,      -15.46247876
          0,           0,         381,      -15.33590937,      -14.81783168,       -15.5107407
          0,           0,         382,      -15.38471185,      -14.85455384,      -15.52458416
          0,           0,         383,      -15.43741646,      -14.89475317,      -15.52754883
          0,           0,         384,      -15.48362711,      -14.93712997,      -15.55558896
          0,           0,         385,      -15.52080893,      -14.97876418,      -15.61389456
          0,           0,         386,      -15.55916809,      -15.01853904,       -15.6772093
          0,           0,         387,      -15.60610876,      -15.05734671,      -15.71921302
          0,           0,         388,      -15.66088123,      -15.09727051,      -15.73418759
          0,           0,         389,       -15.7158948,      -15.13945042,      -15.74765296
          0,           0,         390,      -15.76331016,      -15.18267289,      -15.78582155
          0,           0,         391,      -15.80567406,      -15.22530587,      -15.84411679
          0,           0,         392,      -15.85106727,      -15.26678536,      -15.90113112
          0,           0,         393,      -15.90205655,      -15.30736515,       -15.9415075
          0,           0,         394,       -15.9549624,       -15.3475949,      -15.96605717
          0,           0,         395,      -16.00343159,      -15.38748952,      -15.99307565
